"page_id","title","url","page_type","followers","likes"
"100063569470612","Naing Myanmar Family Restaurant | Lansing MI | Facebook","https://www.facebook.com/people/Naing-Myanmar-Family-Restaurant/100063569470612/","Page · Thai restaurant","4.3K followers","4.2K likes"
"100063569470612","Naing Myanmar Family Restaurant | Lansing MI | Facebook","https://www.facebook.com/people/Naing-Myanmar-Family-Restaurant/100063569470612/","Page · Thai restaurant","4.3K followers","4.2K likes"
"100068544414500","Myanmar Mission Church-LHA | Kuala Lumpur | Facebook","https://www.facebook.com/people/Myanmar-Mission-Church-LHA/100068544414500/","Page · Church","2.5K followers","1.6K likes"
"100067947497983","Project Kyrie - Myanmar | Facebook","https://www.facebook.com/people/Project-Kyrie-Myanmar/100067947497983/","Page · Non-profit organisation","103 followers",
"100068570359774","Love Myanmar | Facebook","https://www.facebook.com/people/Love-Myanmar/100068570359774/","Page · Community","24K followers","24K likes"
"100069960085235","Healthy Eating in Myanmar | Facebook","https://www.facebook.com/people/Healthy-Eating-in-Myanmar/100069960085235/","Page · Community","1.5K followers","1.5K likes"
"100063672638080","Mandalay Golden Myanmar Restaurant | London | Facebook","https://www.facebook.com/people/Mandalay-Golden-Myanmar-Restaurant/100063672638080/","Page · Burmese restaurant","983 followers",
"100067575247572","Angela Bella - Junior Face Of The Globe Finalist 2017 - Team Myanmar | Facebook","https://www.facebook.com/people/Angela-Bella-Junior-Face-Of-The-Globe-Finalist-2017-Team-Myanmar/100067575247572/","Page · Arts & humanities website","2.8K followers","2.8K likes"
"100071608187601","Cesvi - Myanmar | Yangon | Facebook","https://www.facebook.com/people/Cesvi-Myanmar/100071608187601/","Page · Non-governmental organisation (NGO)","7.7K followers","7.1K likes"
"100071608187601","Cesvi - Myanmar | Yangon | Facebook","https://www.facebook.com/people/Cesvi-Myanmar/100071608187601/","Page · Non-governmental organisation (NGO)","7.7K followers","7.1K likes"
"100094674309502","Mic Up English Speaking Competition Myanmar | Yangon | Facebook","https://www.facebook.com/people/Mic-Up-English-Speaking-Competition-Myanmar/100094674309502/","Page · Education website","643 followers","344 likes"
"100071574511476","Myanmar Youth Association USA | Facebook","https://www.facebook.com/people/Myanmar-Youth-Association-USA/100071574511476/","Page · Youth organisation","1.4K followers","1.2K likes"
"100063694794673","YPTT Myanmar Co.;Ltd | Facebook","https://www.facebook.com/people/YPTT-Myanmar-CoLtd/100063694794673/","Page · Interest","7.3K followers","6.8K likes"
"100057520296296","Two Fish Myanmar Cuisine | Clarkston GA | Facebook","https://www.facebook.com/people/Two-Fish-Myanmar-Cuisine/100057520296296/","Page · Food and drink","2K followers","1.8K likes"
"100083055560003","Kerry Freight Myanmar | Yangon | Facebook","https://www.facebook.com/people/Kerry-Freight-Myanmar/100083055560003/","Page · Cargo and freight company","256 followers","217 likes"
"100057520296296","Two Fish Myanmar Cuisine | Clarkston GA | Facebook","https://www.facebook.com/people/Two-Fish-Myanmar-Cuisine/100057520296296/","Page · Food and drink","2K followers","1.8K likes"
"100063694794673","YPTT Myanmar Co.;Ltd | Facebook","https://www.facebook.com/people/YPTT-Myanmar-CoLtd/100063694794673/","Page · Interest","7.3K followers","6.8K likes"
"100071574511476","Myanmar Youth Association USA | Facebook","https://www.facebook.com/people/Myanmar-Youth-Association-USA/100071574511476/","Page · Youth organisation","1.4K followers","1.2K likes"
"100057543644114","Myanmar Neurology | Facebook","https://www.facebook.com/people/Myanmar-Neurology/100057543644114/","Page · Neurologist","3K followers","2.9K likes"
